"movie_id"	"one"	"two"	"three"	"four"	"five"	"six"	"seven"	"eight"	"nine"	"ten"	"mean"	"median"
"tt4154796"	16945	2904	3735	5358	12218	26796	61570	106585	128868	252166	0.0	0.0
"tt1825683"	18526	5649	7318	12276	27698	64123	130975	134420	70373	83181	0.0	0.0
"tt4154756"	12153	2582	3175	4850	10902	27929	73632	147024	184184	264054	0.0	0.0
"tt2527336"	33403	11729	14071	17992	31278	57418	99731	103284	62544	57001	0.0	0.0
"tt3606756"	1428	631	937	2194	6540	20064	55352	70904	35749	26904	0.0	0.0
"tt6105098"	4946	1906	2591	4152	9542	20843	37913	30384	14490	18418	0.0	0.0
"tt2771200"	5012	2097	3270	6009	14028	34104	63826	55910	28259	37000	0.0	0.0
"tt1979376"	1201	393	538	1243	3142	9521	27222	43671	28153	21425	0.0	0.0
"tt4154664"	25296	5468	6439	10373	22322	54507	101814	79179	32603	42259	0.0	0.0
"tt4881806"	5085	4346	7858	14232	31233	60129	60304	28480	9582	13361	0.0	0.0
"tt0451279"	9711	3940	5867	10413	23277	54789	115553	133531	76648	75557	0.0	0.0
"tt2283362"	2502	1521	2741	5632	16411	47094	89352	57331	20541	21032	0.0	0.0
"tt3896198"	4002	1823	3038	6353	16107	49234	124539	159402	84544	64983	0.0	0.0
"tt6320628"	2560	929	1463	2703	7669	22177	57542	75174	39705	31280	0.0	0.0
"tt6139732"	4077	1547	2299	3842	8886	21403	42525	38179	17868	20883	0.0	0.0
"tt1477834"	5884	3745	6191	10861	21829	44648	77439	70632	34111	39520	0.0	0.0
"tt2250912"	6410	2271	3281	6131	16122	47816	129224	142903	60851	47972	0.0	0.0
"tt1396484"	7394	3858	5716	9568	21219	48447	100868	111413	56935	46560	0.0	0.0
"tt5463162"	3895	1652	2399	4560	11969	37286	98447	132581	73650	60920	0.0	0.0
"tt3501632"	5632	2015	2881	5142	12228	35281	99389	164783	108587	86016	0.0	0.0
"tt2709692"	951	523	950	1853	4694	9433	8859	4582	1654	2634	0.0	0.0
"tt3469046"	1243	1027	2151	4848	13677	30685	27072	10819	3311	4818	0.0	0.0
"tt0974015"	10117	5950	10416	18913	38539	70106	83280	50188	21352	38856	0.0	0.0
"tt3315342"	4137	1995	2887	5423	12353	34913	95447	163854	142871	125285	0.0	0.0
"tt4630562"	5613	2579	4134	7089	16330	34939	50050	33028	13990	21259	0.0	0.0
"tt4912910"	1913	856	1336	2386	6681	20332	56582	79805	48202	35713	0.0	0.0
"tt5095030"	2251	1159	2297	4922	14009	42662	96244	67163	20411	17996	0.0	0.0
"tt1727824"	3154	1323	2298	4553	10169	24918	59286	103456	93390	93431	0.0	0.0
"tt1517451"	4494	1763	2509	4117	10011	25030	55889	76447	52428	54229	0.0	0.0
"tt3778644"	6406	2143	3122	6267	15750	40536	79229	56077	19325	17082	0.0	0.0
"tt1270797"	4375	3335	6404	11788	26024	56747	88524	59452	23369	34768	0.0	0.0
"tt2380307"	1920	563	713	1318	3687	12054	39875	84485	84500	80213	0.0	0.0
"tt5848272"	1154	702	1076	2363	6172	17634	35771	25651	9141	7478	0.0	0.0
"tt7349950"	3060	1833	3025	5565	11696	24161	35061	24436	9891	10725	0.0	0.0
"tt7286456"	6318	1536	1893	2743	5911	13741	37387	86011	135359	223011	0.0	0.0
"tt4633694"	3225	772	898	1389	3441	9913	32552	72417	83262	72661	0.0	0.0
"tt5013056"	6878	3092	4309	7088	15663	39039	91863	138168	106287	77624	0.0	0.0
"tt6644200"	4293	2488	3761	6245	13273	33399	77443	101591	54258	39202	0.0	0.0
"tt5052448"	5999	2191	3193	5458	12657	34466	97708	143765	77163	49642	0.0	0.0
"tt4116284"	922	520	911	1872	5448	16659	37925	34123	13177	10081	0.0	0.0
"tt6857112"	7044	3083	4294	6430	12454	25437	41744	37651	16460	11711	0.0	0.0
"tt3874544"	2197	1388	2343	4864	12065	24844	25447	13140	4742	7318	0.0	0.0
"tt3104988"	2324	1278	1900	3366	7755	17851	32350	24874	10671	11420	0.0	0.0
"tt1485796"	2028	1283	2124	3873	8374	18685	37855	49541	34287	51757	0.0	0.0
"tt1790809"	3134	2653	5214	10913	23721	50394	67277	38183	14975	22473	0.0	0.0
"tt5028340"	1479	847	1340	2469	5564	11617	16922	12144	5645	6089	0.0	0.0
"tt6146586"	2474	1310	2279	3574	8152	19847	43335	54046	31876	32132	0.0	0.0
"tt3731562"	3171	2497	4624	9214	23435	57357	81567	42516	12505	12440	0.0	0.0
"tt5220122"	823	602	1142	2368	6300	13264	11796	5413	1917	3668	0.0	0.0
"tt6806448"	2884	1544	2482	4366	9960	21310	27420	25270	10623	13081	0.0	0.0
"tt2386490"	492	210	412	867	2721	8828	21917	22707	10487	11756	0.0	0.0
"tt4123430"	3012	2276	4348	8555	18841	39710	51921	31579	12111	15063	0.0	0.0
"tt1502407"	2753	1747	2838	5037	10811	20520	26809	17806	6702	8317	0.0	0.0
"tt5113040"	419	307	571	1147	3598	8445	9248	4518	1545	2263	0.0	0.0
"tt3606752"	1025	450	898	1854	5329	13894	20447	11114	4015	5331	0.0	0.0
"tt3450958"	2623	1291	2112	3922	9425	24310	54900	62526	28729	20451	0.0	0.0
"tt5884052"	1287	906	1717	3421	9402	23395	33230	18459	6124	8002	0.0	0.0
"tt4779682"	3826	3676	6534	12175	24209	34133	23903	9673	3252	6130	0.0	0.0
"tt0448115"	3139	1385	2246	4321	11298	29274	58042	48392	18748	19169	0.0	0.0
"tt5164214"	6496	2591	3793	7487	18906	41964	41693	19176	6426	8506	0.0	0.0
"tt1677720"	3092	1975	3349	6168	13397	33942	75666	93017	49516	41890	0.0	0.0
"tt7131622"	6452	2683	3462	4737	9146	20651	46514	75906	56504	45319	0.0	0.0
"tt2543472"	515	216	374	777	2043	6878	21722	38787	24689	23870	0.0	0.0
"tt3371366"	10361	6670	9268	13560	22492	24293	16676	8547	3572	9356	0.0	0.0
"tt4701182"	1904	1085	1810	3411	8695	21398	34871	22601	7613	8713	0.0	0.0
"tt6911608"	1993	1080	1597	2769	5854	11370	15540	11752	5947	8742	0.0	0.0
"tt5814060"	5185	4434	7402	11877	20149	22194	14537	7015	2828	6716	0.0	0.0
"tt6343314"	1022	417	735	1500	4390	13082	27197	22610	8547	8122	0.0	0.0
"tt5117670"	761	384	547	1120	2858	6683	8397	4577	1793	2811	0.0	0.0
"tt3564472"	1607	747	989	1629	3260	5979	6652	4361	2035	3906	0.0	0.0
"tt3861390"	1308	773	1270	2703	6352	13170	13493	6664	2319	3368	0.0	0.0
"tt4465564"	12599	5417	7000	9374	12424	11051	7881	5130	2906	10957	0.0	0.0
"tt6823368"	3181	2076	3901	7236	16128	34094	48530	32263	12441	12108	0.0	0.0
"tt3741700"	3086	2375	4207	7053	13486	21816	21827	12832	5319	8444	0.0	0.0
"tt1987680"	2303	358	434	707	1764	4866	9361	7212	3000	4596	0.0	0.0
"tt3890160"	3372	1919	3101	5377	13783	38211	95011	122438	65876	40080	0.0	0.0
"tt3513498"	607	383	629	1402	3885	10076	13374	7154	2310	2072	0.0	0.0
"tt4765284"	1195	996	2056	4096	8931	13133	9452	4358	1682	3064	0.0	0.0
"tt5657846"	1213	1025	1887	3743	8313	15245	11975	5359	1799	2727	0.0	0.0
"tt7959026"	638	434	703	1599	4561	14008	30545	19860	5974	4734	0.0	0.0
"tt3402236"	2075	1742	3258	7363	20259	47760	58166	28545	9195	9284	0.0	0.0
"tt5140878"	1706	1242	2191	4336	10448	22683	29280	16049	5569	7057	0.0	0.0
"tt3766354"	870	601	1189	2950	9042	25148	37499	18849	6265	7453	0.0	0.0
"tt2231461"	2022	1802	3664	7722	18183	34536	29234	12194	4717	10421	0.0	0.0
"tt1620680"	7133	3394	4331	5163	5772	4308	2615	1524	796	2135	0.0	0.0
"tt4477536"	7532	3142	4165	5466	6976	6019	4276	2815	1504	5302	0.0	0.0
"tt4649466"	3185	2408	4192	8417	20030	48876	79029	46994	16249	15064	0.0	0.0
"tt4575576"	514	271	443	1032	2777	8068	16319	15426	6986	7633	0.0	0.0
"tt2066051"	1237	446	685	1263	3311	9419	21722	24047	11213	8366	0.0	0.0
"tt1856101"	6303	3204	4351	6558	13281	29230	64489	106231	95965	73428	0.0	0.0
"tt4425200"	2665	1668	2599	4873	12650	33866	80593	92532	46147	45726	0.0	0.0
"tt4877122"	22523	4045	3592	3762	4343	3591	2538	1439	642	4407	0.0	0.0
"tt0437086"	1672	908	1618	3179	7776	19778	42536	48089	24879	25110	0.0	0.0
"tt3717490"	3148	2208	3830	7055	14663	22036	20010	10663	4129	8488	0.0	0.0
"tt6966692"	1422	464	605	1197	3338	9918	36406	87120	77080	48448	0.0	0.0
"tt3411444"	419	267	559	1261	3631	9621	12868	7358	2767	3997	0.0	0.0
"tt6450186"	492	129	191	249	487	995	1880	2211	1652	4058	0.0	0.0
"tt6182908"	351	198	336	848	2492	6810	8685	4407	1510	2073	0.0	0.0
"tt6294822"	1500	604	923	1785	5355	16636	40686	32205	10138	5267	0.0	0.0
"tt5503686"	2115	589	744	1278	2853	6107	7662	4740	1563	2283	0.0	0.0
"tt2345759"	6543	5754	10164	17736	33721	41219	26301	9995	3462	6328	0.0	0.0
"tt2283336"	3680	2156	3590	6863	14902	21239	14414	5403	1616	3322	0.0	0.0
"tt6781982"	1220	809	1352	2611	5688	7538	4736	2005	721	1554	0.0	0.0
"tt1959563"	1364	931	1938	4211	11344	30520	57251	37061	13147	12064	0.0	0.0
"tt2316204"	6338	4079	7007	12512	26539	54902	67090	34856	10972	11035	0.0	0.0
"tt2091256"	663	426	720	1506	3183	5663	5641	2781	914	1511	0.0	0.0
"tt8350360"	1421	1027	1759	3134	6780	10585	8812	4236	1369	2380	0.0	0.0
"tt7054636"	640	213	204	273	341	293	237	164	94	440	0.0	0.0
"tt6359956"	1579	1128	1880	3586	7295	8920	5805	2685	1072	1874	0.0	0.0
"tt6133466"	3908	1927	3105	5579	10078	10228	5953	2380	848	1880	0.0	0.0
"tt2704998"	1211	981	1817	3762	10849	33348	63158	38482	11958	10818	0.0	0.0
"tt7343762"	1058	394	546	1043	2557	6258	9293	5955	2073	2445	0.0	0.0
"tt6857166"	660	424	681	1262	2822	5222	4967	2762	1072	1443	0.0	0.0
"tt2119543"	876	617	1173	2467	6135	11381	8612	3631	1156	1740	0.0	0.0
"tt5758778"	2048	1805	3450	7033	16481	25598	17521	7135	2682	5650	0.0	0.0
"tt5726086"	1279	1121	2250	4477	9543	12634	7887	3365	1240	2418	0.0	0.0
"tt7401588"	477	235	391	733	2220	7281	18224	17306	6945	7070	0.0	0.0
"tt6189022"	759	423	755	1562	3785	8815	10793	5809	1958	2825	0.0	0.0
"tt6565702"	5521	3123	5183	9621	19578	29547	22986	9761	3228	5663	0.0	0.0
"tt1753383"	5826	388	544	1086	2643	6663	12349	10460	5794	13096	0.0	0.0
"tt5580390"	7582	3657	5263	8451	18126	41502	85970	88919	43406	26300	0.0	0.0
"tt3387520"	694	509	1018	2041	4918	9948	9558	4218	1270	1562	0.0	0.0
"tt2557478"	3291	2772	4980	9437	19395	25742	16958	6557	2089	3701	0.0	0.0
"tt2531344"	1715	1098	1628	3295	7983	15942	15574	6825	2480	5061	0.0	0.0
"tt3014284"	442	319	593	1313	3335	6393	4678	1712	502	989	0.0	0.0
"tt1365519"	3002	2154	4040	8512	21273	45174	48744	21515	7046	11798	0.0	0.0
"tt1469304"	5793	4732	8016	13958	27646	37654	25229	10847	3861	8708	0.0	0.0
"tt4500922"	2131	1505	2606	5428	12940	24437	23902	11844	4630	8227	0.0	0.0
"tt2872518"	1713	793	1101	1373	2358	3696	4274	3692	2460	5752	0.0	0.0
"tt5886046"	885	764	1383	2873	7404	16424	17813	8338	2743	3113	0.0	0.0
"tt4555426"	1337	745	759	1652	4859	15730	45143	47686	18750	10387	0.0	0.0
"tt5308322"	1363	1082	1927	3820	9473	24120	31740	15020	4696	5708	0.0	0.0
"tt7547410"	709	260	429	688	1602	2919	2690	1260	473	1272	0.0	0.0
"tt5523010"	1121	772	1330	2440	4634	5677	3815	1664	656	1328	0.0	0.0
"tt4913966"	1097	1012	1818	3260	5593	6243	3970	1784	595	1408	0.0	0.0
"tt0837563"	1969	1516	2847	5765	12029	17215	12239	5253	1502	2329	0.0	0.0
"tt7634968"	1695	594	859	1503	2770	3110	2031	948	396	920	0.0	0.0
"tt2854926"	1143	858	1691	3632	9724	23186	30513	14952	4627	4872	0.0	0.0
"tt5027774"	2342	1205	1702	2736	5993	17571	59023	124918	104124	51177	0.0	0.0
"tt7040874"	1361	812	1457	2943	7638	20477	33932	20443	6948	5954	0.0	0.0
"tt5619332"	1356	929	1491	2675	5292	6792	4748	2336	923	1628	0.0	0.0
"tt2406566"	2510	1456	2751	5431	14225	35045	50977	29042	9700	8173	0.0	0.0
"tt3532216"	873	368	687	1588	5462	21042	56792	38378	9823	6376	0.0	0.0
"tt3829266"	7337	4970	7371	11749	19840	22838	16243	7345	2435	4551	0.0	0.0
"tt1648190"	3919	3275	5976	11094	23054	31216	21562	8664	2933	4629	0.0	0.0
"tt1563742"	1327	689	1086	1810	4140	7126	6041	3172	1189	2367	0.0	0.0
"tt5052474"	1115	498	918	1959	5566	17677	36850	26691	8448	6560	0.0	0.0
"tt4925292"	1927	1090	1705	3236	8503	24067	54119	54725	26484	15312	0.0	0.0
